id_ingrediente,nome_ingrediente,quantidade_estoque,unidade_medida,estoque_minimo,custo_medio,data_atualizacao
1,Farinha de Trigo,150.5,kg,25.0,3.50,2024-02-20 08:00:00
2,Açúcar,75.2,kg,15.0,4.20,2024-02-20 08:00:00
3,Sal,35.8,kg,8.0,2.80,2024-02-20 08:00:00
4,Fermento Biológico,18.3,kg,3.0,15.00,2024-02-20 08:00:00
5,Leite,45.0,lt,10.0,4.50,2024-02-20 08:00:00
6,Ovos,350,un,80.0,0.50,2024-02-20 08:00:00
7,Manteiga,42.6,kg,8.0,18.00,2024-02-20 08:00:00
8,Chocolate em Pó,22.1,kg,5.0,12.00,2024-02-20 08:00:00
9,Queijo Minas,65.4,kg,12.0,28.00,2024-02-20 08:00:00
10,Farinha Integral,38.9,kg,10.0,5.80,2024-02-20 08:00:00
11,Aveia,28.7,kg,7.0,6.20,2024-02-20 08:00:00
12,Canela,8.5,kg,2.0,25.00,2024-02-20 08:00:00
13,Fermento Químico,12.3,kg,3.0,18.50,2024-02-20 08:00:00
14,Essência de Baunilha,3.2,lt,1.0,35.00,2024-02-20 08:00:00
15,Chantilly,15.8,kg,4.0,42.00,2024-02-20 08:00:00
